Year,CPIH,Inflation,Cumulative_change,Weekly_Earnings,Earnings_Growth,Earnings_Index,Rent_Index_2015,Rent_Change,Earnings_minus_Rent
2015,100.0,,0.0,481.978633,,100.0,100.0,0.0,0.0
2016,101.0,1.0,1.0000000000000009,493.530640575,2.396788318829901,102.3967883188299,103.32563805227828,3.325638052278279,-0.9288497334483736
2017,103.6,2.57,3.600000000000003,505.07685510833335,2.3395132103411376,104.79237470851398,105.8468664480864,5.846866448086388,-1.054491739572427
2018,106.0,2.32,6.000000000000005,519.8360997916667,2.922177988173247,107.8545944155302,106.83538709998146,6.83538709998146,1.0192073155487407
2019,107.8,1.7,7.800000000000007,537.6341984333334,3.423790431022322,111.54730969854702,108.84348975345524,8.84348975345523,2.70381994509178
2020,108.9,1.02,8.899999999999997,547.3029653333333,1.7983913464163503,113.55336686332592,110.7703322702386,10.770332270238598,2.783034593087322
2021,111.6,2.48,11.599999999999987,579.9120012833333,5.958132518090697,120.3190269397966,112.31515677830552,12.315156778305507,8.00387016149108
2022,120.5,7.97,20.500000000000007,615.662578125,6.164827898465863,127.73648787974383,117.13111039983684,17.131110399836842,10.605377479906991
2023,128.6,6.72,28.6,659.0645227,7.049631749128005,136.74143988453528,125.79461493488247,25.79461493488249,10.946824949652807
2024,132.9,3.34,32.9,694.164999609623,5.32580281606212,144.0240193406298,136.75394539398334,36.753945393983344,7.270073946646448
2025,138.0,3.84,37.99999999999999,727.3064025522457,4.774283197980367,150.90013389706544,145.3600733415674,45.360073341567386,5.540060555498059
2026,,,,,,,,,
